date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:02	1436/1436	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2259c-5b8280f45f980%22	http://www.dharmazdarma.cz/Guestbooks/Ikony/desature.png	C:/DZ%20web/www.dharmazdarma.cz/Guestbooks/Ikony/desature.png	(from http://www.dharmazdarma.cz/knihovna.php)
14:31:02	1436/1436	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2259c-5b8280f45f980%22	http://www.dharmazdarma.cz/statistiky.php	C:/DZ%20web/www.dharmazdarma.cz/statistiky.php	(from http://www.dharmazdarma.cz/knihovna.php)
14:31:02	5093/5093	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Sep%202022%2012:31:01%20GMT	http://www.dharmazdarma.cz/vyuctovani.php	C:/DZ%20web/www.dharmazdarma.cz/vyuctovani.html	(from http://www.dharmazdarma.cz/financovani.php)
14:31:03	5756/5756	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Sep%202022%2012:31:02%20GMT	http://www.dharmazdarma.cz/kontakt-odkazy.php	C:/DZ%20web/www.dharmazdarma.cz/kontakt-odkazy.html	(from http://www.dharmazdarma.cz/kontakt.php)
14:31:03	5172/5172	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Sep%202022%2012:31:02%20GMT	http://www.dharmazdarma.cz/kontakt-odkazy-ruzne.php	C:/DZ%20web/www.dharmazdarma.cz/kontakt-odkazy-ruzne.html	(from http://www.dharmazdarma.cz/kontakt.php)
14:31:03	7057/7057	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Sep%202022%2012:31:02%20GMT	http://www.dharmazdarma.cz/zadnipolicka.php	C:/DZ%20web/www.dharmazdarma.cz/zadnipolicka.html	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:31:08	33770/33770	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2283ea-5019e566d0880%22	http://www.dharmazdarma.cz/Umeni/maly-buddha-a-letajici-balon.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/maly-buddha-a-letajici-balon.jpg	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:31:13	92202/92202	---MCZ	200	added ('OK')	image/jpeg	etag:W/%221682a-5019e4edb2ac0%22	http://www.dharmazdarma.cz/Sablona/stred740-distribuce.jpg	C:/DZ%20web/www.dharmazdarma.cz/Sablona/stred740-distribuce.jpg	(from http://www.dharmazdarma.cz/novinky.php)
14:31:13	88575/88575	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22159ff-5019e4edb2ac0%22	http://www.dharmazdarma.cz/Sablona/stred740.jpg	C:/DZ%20web/www.dharmazdarma.cz/Sablona/stred740.jpg	(from http://www.dharmazdarma.cz/uvod.php)
14:31:14	1436/1436	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2259c-5b8280f45f980%22	http://www.dharmazdarma.cz/Umeni/maly-buddha-s-miminkem.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/maly-buddha-s-miminkem.22.delayed	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:31:14	1436/1436	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2259c-5b8280f45f980%22	http://www.dharmazdarma.cz/Umeni/maly-dva-buddhove.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/maly-dva-buddhove.jpg	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:31:15	1436/1436	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2259c-5b8280f45f980%22	http://www.dharmazdarma.cz/www.rodinnekonstelace.eu	C:/DZ%20web/www.dharmazdarma.cz/www.rodinnekonstelace.eu	(from http://www.dharmazdarma.cz/napsali-nam.php)
14:31:15	1436/1436	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2259c-5b8280f45f980%22	http://www.dharmazdarma.cz/Texty/jestevtomtozivote.pdf	C:/DZ%20web/www.dharmazdarma.cz/Texty/jestevtomtozivote.pdf	(from http://www.dharmazdarma.cz/zadnipolicka.php)
14:31:26	108586/108586	---MCZ	200	added ('OK')	image/jpeg	etag:W/%221a82a-5019e567c4ac0%22	http://www.dharmazdarma.cz/Umeni/maly-buddha-na-velrybe.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/maly-buddha-na-velrybe.jpg	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:33:26	1633697/1633697	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2218eda1-5019e55e3b440%22	http://www.dharmazdarma.cz/Umeni/buddha-na-dlani.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/buddha-na-dlani.jpg	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:33:36	1893448/1893448	---MCZ	200	added ('OK')	image/jpeg	etag:W/%221ce448-5019e55b5ed80%22	http://www.dharmazdarma.cz/Umeni/buddha-a-letajici-balon.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/buddha-a-letajici-balon.jpg	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:33:46	104934/104934	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22199e6-5019e567c4ac0%22	http://www.dharmazdarma.cz/Umeni/maly-buddha-na-dlani.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/maly-buddha-na-dlani.jpg	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
14:34:54	1829941/1829941	---MCZ	200	added ('OK')	image/jpeg	etag:W/%221bec35-5019e56117b00%22	http://www.dharmazdarma.cz/Umeni/buddha-na-velrybe.jpg	C:/DZ%20web/www.dharmazdarma.cz/Umeni/buddha-na-velrybe.jpg	(from http://www.dharmazdarma.cz/knihovna-umeni.php)
